RegionID,SizeRank,RegionName,RegionType,StateName,Y2019,Y2020,Y2021,Y2022,Y2023
395039,366,"Roseburg, OR",msa,OR,222253.5,239529.4167,278461.25,317861.6667,305747.5
394505,411,"Corvallis, OR",msa,OR,362839.6667,390865.9167,446455.0833,503232.5,522214.8333
753887,417,"Hermiston, OR",msa,OR,197826.25,224980.75,254497,280900,282634
394641,422,"Grants Pass, OR",msa,OR,289079.25,312670.9167,370498.9167,398053.9167,388457.5
394752,490,"Klamath Falls, OR",msa,OR,180531.3333,209309.1667,258695.1667,273172.0833,289784.25
394496,514,"Coos Bay, OR",msa,OR,222488.9167,234746.6667,275165.5833,327074.8333,330222.5833
394940,557,"Ontario, OR",msa,OR,188938.6667,218871.8333,268394.0833,298774.5,298078.3333
753905,604,"Newport, OR",msa,OR,297791.5,324762.3333,406669.0833,455239.25,447544.0833
394341,691,"Astoria, OR",msa,OR,313785.5833,355715.4167,426175.5833,486178.6667,480023.3333
394974,7,"Philadelphia, PA",msa,PA,222457.0833,245861.75,271996,289050.4167,306366.25
394982,27,"Pittsburgh, PA",msa,PA,157340.5,170275.4167,188549.5,195450.5,195229.4167
394318,70,"Allentown, PA",msa,PA,182961.25,204299.0833,234636.3333,262765.8333,281836.6667
394666,99,"Harrisburg, PA",msa,PA,170448.0833,182627.75,195115,215564.25,228522.5833
395075,101,"Scranton, PA",msa,PA,118432.8333,128535.5,152988.6667,172968.3333,178244.9167
394768,104,"Lancaster, PA",msa,PA,203949.5,222946.1667,245233.3333,275412,295364.5
395244,122,"York, PA",msa,PA,170111.5,183421.5,194849.75,213057.9167,233018.8333
395015,128,"Reading, PA",msa,PA,159976.4167,174506.6667,192094.1667,206421,225258.6667
394572,184,"Erie, PA",msa,PA,120267.8333,130671.9167,139618.1667,153962.25,160448.4167
